,index,content
0,0,tumlog karlena baad mein
1,1,rehne do fir
2,2,mai kal raat ko jaara
3,3,mai kal jaaraha
4,4,waha kya karra hai
5,5,as i have to plan accordingly
6,6,please finalize the venue and time
7,7,ghar se bahar jaana and i am in
8,8,friday raat ki train hai meri
9,9,man what the hell is happening
10,10,there are a lot of things happening in your college
11,11,ye woh decomposed body wala case hai kya
12,12,kottayam ameer hai na mai thodi
13,13,uske baad chala jaaunga us gutter si jagah pe wapis
14,14,for jaipur i guess coming thrusday
15,15,bcz after durga puja i will go to jaipur
16,16,just tell me when
17,17,of the valo tournament registration
18,18,apne kolej ka kuch ho sake toh
19,19,link bhej mai bhi dekhta kuch
20,20,kon kon hai team mein
21,21,aise bol rha hai
22,22,koi tournament hai kya tumhare kolej mein
23,23,kaunsi valo teams
24,24,ye toh college mein aata tha
25,25,ye bc abhi bhi mera net kochi se kyu aara hai
26,26,i am back home guys
27,27,abhi tak online chal raha hai kya
28,28,online viva
29,29,u sure he went to a iit
30,30,hostel hoga toh na rahenge log
31,31,for me its not
32,32,its strange that they dont provide washing machine in iitkgp
33,33,mereko bhi aise ek bande se msg aaya tha
34,34,kaunse college mein hai woh bhaiya
35,35,tell them to buck up
36,36,nhi rehna mereko kolej mein ghar jaana hai
37,37,aur aaye kovid bc
38,38,humare yaha teachers keh rahe hai ki quiz hostel room mein hi baithkar de do
39,39,but woh partially blocked hai
40,40,so its free for me
41,41,one of my kolej frnds gave me his id
42,42,but i have a paid vpn
43,43,yaha par seniors north walo ko alag se bulake scheme samjha rahe hai
44,44,yaha direct hi admission ho jaata hai lmfao
45,45,baaki nitian aur iiitians ko paper dena padta hai
46,46,iit se direct mba
47,47,are tu samajh nhi raha hai
48,48,mba bhi hai iit kgp
49,49,just iitian things
50,50,kisi ladki ne ofcourse
51,51,bhai mere hostel mein bhi ganja aur daaru ki complaint kardi hai kisi ne
52,52,mai bhi bhul gaya tha
53,53,ye toh mere wala scene hogaya
54,54,aur net bhi
55,55,haan bas khana aacha milta hai yaha
56,56,sirf bakchodi hori hai bahut bhayankar
57,57,offline kuch nhi padhayi hori hai
58,58,online best hai
59,59,shi kehraha hun
60,60,meanwhile vaidhya still waiting
61,61,the reason of sufferings of many
62,62,yeah but ok
63,63,ye kuch kuch toh boldiyo ho tum dubey sahab
64,64,tab toh tu hoga hi nhi
65,65,bye bye bhai
66,66,itni jaldi
67,67,where am i
68,68,nirf se kuch nhi hota hai
69,69,but still we are not protected
70,70,but this is terrifying
71,71,someone told me that noida mein bahut robbery aur kidnappings hoti hai
72,72,noida mein ye sab bahut hai
73,73,bro toh ye sab toh hoga hi
74,74,bhai ab tu greater noida shift hogaya hai kya
75,75,dsa mein bhi theorey ratwa rahe hai bc
76,76,yaar ye kolej ke profs mc
77,77,ye sab kaha se aaya cs mein
78,78,mere kamputar mein kuch bhi organised nhi hai
79,79,just govt college things
80,80,multiverse of madness
81,82,uske liye pehle se kuch dekhna jaruri hai
82,83,mereko doc strange mom dekhni hai
83,84,i wanted to ask something
84,85,our profs got no chill
85,86,yeah i am damn serious
86,89,this one was very nice
87,90,yeah can be tru
88,91,sab hi bulate hai khair
89,92,mere dsa ke teacher ko mere name jaada bada lag gaya toh woh mereko biswa bulata hai
90,93,bahut accha name hai
91,94,i mean healthy hai bahut
92,95,mess ka khana restraunt jaisa hai yaha
93,96,diet bhi shi hai
94,97,biceps aagye hai mere
95,98,mere dost mereko kheech ke gym le jaate hai
96,99,peer pressure hota hai mere saath
97,100,kyaa chalra hai
98,101,mai iit mein padh raha hun
99,102,usse sunnunga
100,103,naya headphone liya hai maine
101,104,hogaya set kal ka din
102,105,subaru dream mein hai ki reality mein
103,106,yeah exxactly
104,107,technically yes
105,108,played well
106,109,and this goes on
107,110,the fact that ki uske saath kuch hota hai aur agle din wapis sab shi ho jaata hai
108,111,it has a unique taste
109,112,re zero is very nice
110,113,kal mai bunk maara toh koi bata do jo mai kal hi pura din dekhke khatam kardu
111,114,sat  sun mein dekhunga
112,115,haan lekin baad mein dekhunga use
113,116,ek black mirror bhi kisi ne kaha tha
114,117,warna yaha bacche literelly are compelling me to watch aot
115,118,isiliye nhi dekh raha
116,119,bahut bada hai be
117,120,and kya mast hai
118,121,i am watching it
119,122,rather binge watch
120,123,can anyone suggest me some good series to watch
121,124,computer organisation mein kya samajh nhi aaya
122,125,mai pdf bhej dunga apne kolej ki
123,126,that goddamn fucking chapter
124,127,u also have mips
125,128,computer organisation
126,129,german nhi
127,130,ye toh test case hai
128,131,paper se ek din pehle padhkar sabse hard exam mein top maar gaya
129,132,toxic ho gaya hun mai ab
130,133,haryanvi roommate ho toh yahi hota hai
131,134,unmute kar
132,135,look what i found
133,136,same for iiit
134,137,yaha sabke rubber ka business hai
135,138,ek rubber plantation bana lunga paisa hi paisa hoga
136,139,lagta hai sept se pehle hi ghar bhej denge
137,140,jungle hi jungle hai
138,141,abe sabke independent villas hai
139,142,pata nhi kaise badhte hai cases kerela mein
140,143,log kaha rehte hai yaha bc
141,144,bc corona kerela ki band baja raha hai
142,145,i also have a maths exam tomorrow
143,146,wahase bhaagke aaya kya
144,147,it was fun
145,148,abe kaun mute kiya be mereko
146,149,i deleted bcz u were making anything else out of it
147,150,sab speaker pe gaane sunre hai
148,151,waise bhi koi nhi padh raha hai yaha
149,152,bas ho jaayega
150,153,uske baad binge watch bhi toh karna hai yt playlist
151,154,ek ghante ke liye aajaaunga
152,155,aaj raat ko yt playlist khatam kar dunga
153,156,parso exam hai
154,157,jo likhwaya tha wohi aaya
155,158,itna aasan paper tha
156,159,ek baat pata chal gayi
157,160,haan aadi bata raha tha
158,161,before the sem
159,162,kyuki tab bahut kam subjects honge
160,163,shaayad last year mein add kiya hai
161,164,hai hi nhi
162,165,meretoh mid sem chalu hue hai abhi
163,166,lawde ka rate
164,167,why it took few months
165,168,make sticker
166,169,aadhi pant gaayab hi ho gayi bc
167,170,mere pitaji ne dilayi thi
168,171,maybe bcz of my extra large shirt
169,172,sticker banao bois
170,173,if u are not suffering that means u are not existing
171,174,suffering is existing
172,175,so i guess iiitk is better in that
173,176,pata nhi tha na humko
174,177,aur govt bus free
175,178,ab se bus mein hi jaaunga
176,179,bus bhi jaati hai
177,180,auto ka toh fixed hai
178,181,bhai lekin bc bahut jaada developed hai
179,182,auto ya cab sabka same hisaab hai
180,183,aur public transport itna mehenga hai
181,184,sabki kothiya hai
182,185,bc ameeri hai yaha
183,186,bsnl ya airtel hi use karte hai kottaayam ke log
184,187,yaaha toh jio hi nhi chalta hai
185,188,chalega kya
186,189,aur tokyo server mein khelna padega
187,190,ping bahut jaada aayega
188,191,humara bhi same hai
189,192,speed kitni aati hai hostel room mein
190,193,are haan ruko
191,194,hummara toh campus ban raha hai abhi
192,195,hum toh proxy lagwake baith jaate hai hostel mein ac mein
193,196,kyu roommates freedom nhi dete the kya
194,197,humara bhi aisa hi kuch system hai
195,198,tu bhi ghar mein hai kya
196,199,toh abhi kya saare bacche ghar mein hai kya
197,200,ac nhi hai kya class mein
198,201,offline mein online class kaise
199,202,online hai
200,203,another whole day sucessfully bunked
201,204,but yaar ubuntu aur linux hai
202,205,gaming lab hai
203,206,just a normal computer at a lab in iiit
204,207,date pe gaya tha uske saath
205,208,ek patayi toh hai kolej mein
206,209,aur dusre wale ke papa air force mein hai
207,210,rajasthan mein
208,211,uske papa ssp hai
209,212,turns out ki jo ladka phasa tha rajasthan wala
210,213,so jao sab
211,214,senior aur junior ke beech mein hua tabadtod ladhayi
212,215,iiitk mein hua hadsa
213,216,no i dont need to
214,217,its fun to see policia in kolej
215,218,me going to watch the tamashq
216,219,aur police cum
217,220,bas ladhayi chalu
218,221,phir jhagda hau
219,222,ye malyali walo ko gussa aaya
220,223,baaki jo telegu aur ap walo ne kuch nhi kiya
221,224,aur ye malyali group bc inki community ko gussa aagaya
222,225,qbhi police aayi hai
223,226,mai support karra tha
224,227,jalwa hai himara bc
225,228,toh mai bach gaya
226,229,everyone said ki mai nhi tha
227,230,action kisi aur ne liya
228,231,mai like support karra tha
229,232,but mai bach gaya
230,233,dekho bakchodi maine kari thi
231,234,north aur south walo ke beech
232,235,maar pit hui
233,236,seniors aur junior ke bech mein bahut tagdi ladhayi ho gayi
234,237,hostel mein kerela police qagayi
235,238,paas mein hi hai
236,239,mai bhi aau
237,240,paid tha na be
238,241,iiitindian institute of intense torture
239,242,aur maggi party de di
240,243,humko freshers ke naam pe dj night
241,244,ooh so iitnitiiit all are bekaar
242,245,i was asking about that
243,246,freshers bhi milraha hai tumko
244,247,itni jaldi kaise
245,248,kisine panchayat dekhi
246,249,a whole day sucessfully bunked
247,250,aur phir dobara chalate hai
248,251,lekin betichod band kar dete hai saale
249,252,but we dont have a beach
250,253,we have centralised ac in our mess and hostel too
251,254,tv laga hai jo dekhna hai dekho
252,255,lekin common rooms hai har floor mein hostel mein jaha padhayi nhi hoti hai
253,256,discussion rooms toh baad mein hoga
254,257,humara pehle classroom hi ban jaaye
255,258,mera coed hai
256,259,kolej mein us level ka programming nhi karate hai
257,260,not enough
258,261,woh saare iiitians join karte hai
259,262,iiitians network bro
260,263,aise hi dikh gaya instagram mein
261,264,yeah it is not
262,265,saare iiits ki package badh rhi hai
263,266,iiit hyd ko paar kar jaayega
264,267,iiita se bhi upar hai
265,268,iiitl ki placements check karo
266,269,itni bhaari english nhi aati hai mereko
267,270,pata nhi kya padha rhaa hai ye teacher
268,271,south mein admission nhi leni chahiye
269,272,aage se yahi bolunga
270,273,aur nit trichy ka hai
271,274,merese puch raha hai ki shi padha raha hun na
272,275,aur ye chutiya hai
273,276,our dsa teachers is gay
274,277,somry bhaimya
275,278,acchi nhi hai
276,279,result aagaya madarchod
277,280,jab pata hai ki nhi hone wala terese
278,281,tu try hi kyu karta hai
279,282,tu mat bol bc
280,283,startup kholo bc
281,284,kuch nhi rakha hai ladkibaazi mein
282,285,once i go to kolej
283,286,remember i said i will
284,287,aadhe ghante se beep beep sound aara hai
285,288,emgineers are good at everything except emgineering
286,289,iit nit iiit se bacche aayenge pancho
287,290,pan india business hoga mera
288,291,bagal mein server room hai
289,292,pc build karke black mein bechenge
290,293,woh bhi udayenge
291,294,aur monitor mehenga wala hai
292,295,woh toh udana hi hai
293,296,cpu mein ryzen hai be
294,297,mechanical keyboard hai
295,298,hain bola tha
296,299,kal ethernet cable aur keyboard uda lunga
297,300,maine lab ka mouse uda liya
298,301,mere stickers
299,302,abe mai ek dost ko dikha raha tha
300,303,koi kaam dhandha nhi hai
301,304,discord par
302,305,pura din pada rehta hai kya
303,306,aur kya chahiye
304,307,surprise mfs
305,308,bas travel vlogs dekhunga pura din
306,309,games nhi chalre
307,310,bhai yaar ye galat hai
